"report-cd-rfile"
"Iteration" "report-cd"
("Iteration" "report-cd")
1 0.1265607752371175
2 0.09544010826088496
3 0.07783669604929791
4 0.06729087294657093
5 0.06087556212368145
6 0.05712984684590577
7 0.05492713098202141
8 0.05350804720586849
9 0.05256783685900537
10 0.05203082788673627
11 0.05175306535458805
12 0.05163944756526343
13 0.05166092005912899
14 0.05171230524942994
15 0.05175944349174356
16 0.05178688378659633
17 0.05178829060583277
18 0.05177396509360865
19 0.05174847878645914
20 0.051721732419578
21 0.05169963849862044
22 0.05168447086216076
23 0.05167593582845421
24 0.05167218818352159
25 0.05167088907679298
26 0.05167046339357378
27 0.05167004777382382
28 0.05166916348098553
29 0.05166789466450706
30 0.05166650497034375
31 0.0516652156370416
32 0.05166414146486004
33 0.05166348864693574
34 0.05166300940318088
35 0.05166268112105439
36 0.05166250079221743
37 0.05166234202114868
38 0.05166222894479831
39 0.05166213270110775
40 0.05166204798114311
41 0.05166196587681245
42 0.05166189295954118
43 0.05166180367287764
44 0.05166170689692207
45 0.05166161017178694
46 0.05166152082096413
47 0.05166145053624922
48 0.05166138433404441
49 0.05166132710698346
50 0.05166127778895099
51 0.05166123893059756
52 0.05166120451618245
